url,comments,language,status
https://www.bolnews.com/latest/feed/,Pakistani,en,active
https://www.nbcnewyork.com/news/recall-alert/feed/,global,en,active
https://www.worldcrunch.com/feeds/feed.rss,global,en,active
http://statesville.com/search/?f=rss&t=article&c=&l=50&s=start_time&sd=desc,US,en,active
https://newsday.co.tt/reporter/ryan-hamilton-davis/feed/,Trinidad and Tobago,en,active
http://www.wbiw.com/feed/,US,en,active
https://www.arlnow.com/feed/,US,en,active
https://www.thehindu.com/news/cities/Hyderabad/feeder/default.rss,Indian,en,active
https://www.superiortelegram.com/index.rss,US,en,active
http://nonpareilonline.com/search/?f=rss&t=article&c=news/local/crime-and-courts&l=50&s=start_time&sd=desc,US,en,active
https://www.dimsumdaily.hk/feed/,Hong Kong,en,active
https://www.kxlf.com/news/local-news.rss,US,en,active
http://activenorcal.com/feed/,US,en,active
https://www.thenicheng.com/category/news/feed/,China,en,active
https://bergenfield.dailyvoice.com/rss/,US,en,active
https://time.news/tag/news/feed/,global,en,active
https://www.africa-press.net/ghana/feed,Ghana,en,active
https://dnyuz.com/category/news/world/feed/,global,en,active
https://www.wvpe.org/wvpe-news.rss,US,en,active
https://capitaldistrict.dailyvoice.com/rss/,US,en,active
https://news.pngfacts.com/feeds/posts/default?alt=rss,Papua New Guinea,en,active
https://www.atlanticcouncil.org/issue/geopolitics-energy-security/feed/,global,en,active
https://ridgewood.dailyvoice.com/rss/,US,en,active
https://www.thedenverchannel.com/index.rss,US,en,active
http://www.thecourier.com.au/rss.xml,Australia,en,active
https://www.gdacs.org/xml/gdacs_cap.xml,global,en,active
https://the-journal.com/feeds/local-news,US,en,active
https://6abc.com/feed/,global,en,active
http://www.cjme.com/feed,Canada,en,active
https://www.wavy.com/feed/,global,en,active
https://rthk9.rthk.hk/rthk/news/rss/e_expressnews_elocal.xml,Hong Kong,en,active
https://www.the-journal.com/feeds/news,"San Juan Islands, Washington",en,active
https://perilofafrica.com/category/world-news/feed,global,en,active
https://www.nbc5i.com/news/local/feed/,Miami,en,active
https://www.three.fm/news/isle-of-man-news/feed.xml,Isle of Man,en,active
https://tribune.com.pk/feed/punjab,"Punjab, Pakistan",en,active
https://bernews.com/category/accidents-and-fires/feed,Bermuda,en,active
https://www.cbsnews.com/latest/rss/crime,global,en,active
https://www.nbcbayarea.com/news/california/feed/,California,en,active
https://www.wkbw.com/index.rss,"Buffalo, NY",en,active
https://www.thewhig.com/rss,Kingston,en,active
https://kfbk.iheart.com/topic/national-news.rss/,Sacramento,en,active
https://the-journal.com/feeds/news,"San Juan Islands, Washington",en,active
https://www.lex18.com/index.rss,Lexington,en,active
https://princewilliam.dailyvoice.com/rss/,"Prince William County, VA",en,active
https://www.thedenverchannel.com/news/front-range.rss,"Denver, front range",en,active
https://mynorthwest.com/category/world/feed/,Seattle,en,active
https://sussex.dailyvoice.com/rss/,"Sussex County, NJ",en,active
https://kbnd.com/kbnd-news/regional-news/feed.xml,"Bend, OR",en,active
https://www.thetrentonline.com/category/news/feed/,Nigeria,en,active
https://forefrontng.com/rss,Nigerian,en,active
https://www.africa-press.net/rwanda/feed,Rwanda,en,active
